id_despesa,descricao,valor,data,categoria
1,Molestias quos pariatur laboriosam.,506.56,2018-06-07,Troca de gestão
2,Perspiciatis numquam.,576.81,2022-05-07,Cursos
3,Sequi illo repudiandae quidem.,725.83,2022-02-13,Manutenção
4,Maiores unde laudantium.,858.61,2024-04-02,Troca de gestão
5,Reprehenderit culpa repellendus voluptatum nobis.,129.68,2017-09-30,Licença para produção
6,Soluta omnis iure praesentium.,309.15,2019-08-25,Manutenção
7,Maiores consequuntur suscipit nemo repudiandae.,189.98,2022-09-02,Contabilidade
8,Error iure autem minus error.,137.13,2022-01-02,Licença para produção
9,Ex ratione explicabo.,825.87,2020-04-15,Troca de gestão
10,Amet tenetur.,933.95,2022-06-22,Contabilidade
11,Autem ad quis.,100.59,2017-11-09,Manutenção
12,Et tenetur excepturi accusamus.,405.26,2019-03-07,Contabilidade
13,Exercitationem occaecati illum.,994.8,2018-06-09,Troca de gestão
14,Commodi dolorum.,263.31,2019-03-04,Troca de gestão
15,Iure consequatur occaecati.,934.28,2022-03-23,Outros
16,Rerum dolorem officiis iusto alias.,667.46,2018-05-07,Licença para produção
17,Ab nobis eveniet maiores.,180.72,2023-02-17,Troca de gestão
18,Voluptatem quo sunt.,921.53,2021-11-12,Contabilidade
19,Ducimus ad.,711.27,2020-08-17,Licença para produção
20,Facilis earum reprehenderit sit.,770.9,2019-01-29,Contabilidade
21,Magni ea.,476.17,2023-09-10,Cursos
22,Fugiat reiciendis quia.,910.56,2019-01-01,Cursos
23,Libero aspernatur quasi magnam.,293.13,2024-08-07,Licença para produção
24,Suscipit delectus quam rem.,571.36,2025-03-31,Outros
25,Dolor cupiditate ullam.,628.44,2020-12-28,Contabilidade
26,Facilis ipsa consequuntur.,155.63,2019-03-07,Troca de gestão
27,Ratione ad tempore.,275.76,2019-03-03,Cursos
28,Inventore quod nesciunt.,95.36,2025-01-12,Contabilidade
29,Perferendis ab.,657.0,2020-01-19,Manutenção
