id_servico,titulo,descricao,valor,data_inicio,data_fim,status,id_area,id_pessoa,id_empresa
1,API REST e painel administrativo,"Projeto web com foco em SEO on-page, analytics e eventos, acessibilidade (WCAG). Stack utilizada: React + Django + PostgreSQL.",871.09,2019-02-19,,Em andamento,2,,9.0
2,Monitoramento e alertas,"Automação implementada usando Python RPA, com containers Docker, testes E2E com Playwright/Selenium, agendamento com cron.",620.67,2022-11-22,,Em andamento,3,,9.0
3,Advergame para campanha,"Jogo com salvamento de progresso, ranking online, efeitos sonoros e trilha. Desenvolvido na engine Phaser, com build para Android.",1078.92,2018-12-03,2020-01-03,Concluído,1,,8.0
4,Automação de relatórios semanais,"Automação implementada usando Node-RED, com orquestração de tarefas, logs centralizados, integração com Slack/Discord.",806.8,2021-11-14,2024-08-04,Concluído,3,,3.0
5,RPA para extração de dados,"Automação implementada usando Airflow, com testes E2E com Playwright/Selenium, containers Docker, logs centralizados.",388.94,2018-12-10,2019-03-03,Cancelado,3,,18.0
6,E-commerce com checkout integrado,"Projeto web com foco em analytics e eventos, integração com CRM, acessibilidade (WCAG). Stack utilizada: Vue + Laravel + MySQL.",300.6,2024-11-16,2025-04-03,Cancelado,2,6.0,
7,Landing page de campanha,"Projeto web com foco em SEO on-page, integração com CRM, acessibilidade (WCAG). Stack utilizada: Vue + Laravel + MySQL.",1286.25,2020-02-10,2022-08-09,Concluído,2,,25.0
8,Minigames para evento,"Jogo com sistema de fases, controle por toque/teclado, conquistas. Desenvolvido na engine Phaser, com build para web.",267.46,2019-12-20,2025-05-20,Cancelado,1,,8.0
9,Automação de deploy (CI/CD),"Automação implementada usando Airflow, com testes E2E com Playwright/Selenium, logs centralizados, pipelines GitHub Actions.",1372.17,2025-05-02,,Em andamento,3,,18.0
10,Advergame para campanha,"Jogo com HUD e menus, ranking online, controle por toque/teclado. Desenvolvido na engine Godot, com build para PC.",477.3,2018-01-01,2021-05-14,Cancelado,1,,17.0
11,E-commerce com checkout integrado,"Projeto web com foco em acessibilidade (WCAG), layout responsivo, analytics e eventos. Stack utilizada: SvelteKit + Supabase.",460.65,2024-02-13,,Em andamento,2,6.0,
12,Protótipo de jogo 2D de plataforma,"Jogo com sistema de fases, HUD e menus, conquistas. Desenvolvido na engine Unity, com build para PC.",399.9,2023-10-05,2024-01-23,Concluído,1,,24.0
13,Robô de testes end-to-end,"Automação implementada usando Playwright, com containers Docker, logs centralizados, testes E2E com Playwright/Selenium.",432.06,2019-04-05,2023-02-20,Cancelado,3,,15.0
14,E-commerce com checkout integrado,"Projeto web com foco em layout responsivo, cache e CDN, acessibilidade (WCAG). Stack utilizada: Vue + Laravel + MySQL.",1230.8,2020-11-22,,Em andamento,2,,18.0
15,API REST e painel administrativo,"Projeto web com foco em formulários com validação, SEO on-page, layout responsivo. Stack utilizada: WordPress + WooCommerce.",1240.83,2023-02-28,2024-11-26,Concluído,2,5.0,
16,RPA para extração de dados,"Automação implementada usando Node-RED, com containers Docker, logs centralizados, testes E2E com Playwright/Selenium.",599.25,2023-10-07,2023-11-24,Concluído,3,,1.0
17,Sistema de autenticação e área do cliente,"Projeto web com foco em analytics e eventos, cache e CDN, acessibilidade (WCAG). Stack utilizada: SvelteKit + Supabase.",1043.53,2022-05-29,2023-04-23,Concluído,2,,31.0
18,Port do jogo para Android,"Jogo com sistema de fases, salvamento de progresso, conquistas. Desenvolvido na engine Unity, com build para web.",763.39,2021-09-18,2023-11-06,Concluído,1,5.0,
19,Jogo mobile de puzzles,"Jogo com ranking online, controle por toque/teclado, sistema de fases. Desenvolvido na engine Godot, com build para Android.",275.88,2018-08-20,2022-11-12,Concluído,1,,2.0
20,Refatoração e otimização de performance web,"Projeto web com foco em analytics e eventos, SEO on-page, acessibilidade (WCAG). Stack utilizada: Vue + Laravel + MySQL.",472.23,2019-05-30,2025-07-12,Cancelado,2,,30.0
21,Sistema de autenticação e área do cliente,"Projeto web com foco em SEO on-page, layout responsivo, analytics e eventos. Stack utilizada: React + Django + PostgreSQL.",832.94,2019-04-29,,Em andamento,2,,3.0
22,Landing page de campanha,"Projeto web com foco em formulários com validação, integração com CRM, analytics e eventos. Stack utilizada: Vue + Laravel + MySQL.",975.76,2019-08-20,2025-04-23,Concluído,2,,18.0
23,RPA para extração de dados,"Automação implementada usando GitHub Actions, com agendamento com cron, pipelines GitHub Actions, testes E2E com Playwright/Selenium.",1074.51,2022-09-19,,Em andamento,3,,23.0
24,Integração de APIs e webhooks,"Automação implementada usando Python RPA, com orquestração de tarefas, logs centralizados, agendamento com cron.",429.22,2019-08-04,2024-03-12,Cancelado,3,3.0,
25,Integração de APIs e webhooks,"Automação implementada usando Airflow, com containers Docker, testes E2E com Playwright/Selenium, logs centralizados.",1287.93,2022-12-22,2024-07-09,Concluído,3,6.0,
26,Integração de APIs e webhooks,"Automação implementada usando Node-RED, com orquestração de tarefas, integração com Slack/Discord, containers Docker.",478.42,2024-10-06,2025-08-03,Concluído,3,,7.0
27,Integração de APIs e webhooks,"Automação implementada usando Airflow, com integração com Slack/Discord, orquestração de tarefas, logs centralizados.",1349.27,2024-07-05,2024-07-10,Concluído,3,,26.0
28,Automação de deploy (CI/CD),"Automação implementada usando Node-RED, com containers Docker, testes E2E com Playwright/Selenium, agendamento com cron.",1423.13,2023-07-12,2024-10-21,Concluído,3,,26.0
29,Desenvolvimento de site institucional,"Projeto web com foco em formulários com validação, SEO on-page, integração com CRM. Stack utilizada: WordPress + WooCommerce.",622.04,2023-11-03,2024-02-18,Concluído,2,,22.0
30,Runner infinito com ranking,"Jogo com controle por toque/teclado, HUD e menus, sistema de fases. Desenvolvido na engine Unreal (Blueprints), com build para Android.",823.56,2024-06-06,2025-05-20,Cancelado,1,,4.0
31,API REST e painel administrativo,"Projeto web com foco em layout responsivo, formulários com validação, analytics e eventos. Stack utilizada: WordPress + WooCommerce.",616.68,2024-06-06,2025-04-10,Cancelado,2,,17.0
32,Advergame para campanha,"Jogo com IA básica de inimigos, conquistas, sistema de fases. Desenvolvido na engine Phaser, com build para web.",695.92,2022-06-22,2024-05-29,Concluído,1,,3.0
33,Monitoramento e alertas,"Automação implementada usando GitHub Actions, com agendamento com cron, testes E2E com Playwright/Selenium, pipelines GitHub Actions.",1560.07,2020-06-29,2022-07-18,Cancelado,3,,23.0
34,Integração com gateway de pagamento,"Projeto web com foco em integração com CRM, acessibilidade (WCAG), formulários com validação. Stack utilizada: React + Django + PostgreSQL.",980.95,2025-06-24,2025-07-26,Concluído,2,,7.0
35,Automação de relatórios semanais,"Automação implementada usando Node-RED, com agendamento com cron, logs centralizados, testes E2E com Playwright/Selenium.",1245.88,2024-03-28,2025-03-24,Concluído,3,,10.0
36,Integração de APIs e webhooks,"Automação implementada usando Playwright, com pipelines GitHub Actions, containers Docker, agendamento com cron.",1429.19,2020-09-20,,Em andamento,3,4.0,
37,Robô de testes end-to-end,"Automação implementada usando Playwright, com logs centralizados, testes E2E com Playwright/Selenium, orquestração de tarefas.",1305.68,2020-09-17,2023-08-03,Cancelado,3,,21.0
38,Automação de deploy (CI/CD),"Automação implementada usando Playwright, com integração com Slack/Discord, logs centralizados, containers Docker.",1425.75,2023-10-21,2024-06-28,Cancelado,3,2.0,
39,Landing page de campanha,"Projeto web com foco em formulários com validação, acessibilidade (WCAG), analytics e eventos. Stack utilizada: SvelteKit + Supabase.",953.86,2022-05-01,2022-11-05,Cancelado,2,,24.0
40,Sistema de autenticação e área do cliente,"Projeto web com foco em otimização de imagens, acessibilidade (WCAG), cache e CDN. Stack utilizada: WordPress + WooCommerce.",499.91,2023-01-17,,Em andamento,2,,25.0
41,Portal com CMS e blog,"Projeto web com foco em analytics e eventos, cache e CDN, layout responsivo. Stack utilizada: Vue + Laravel + MySQL.",466.57,2024-08-07,2025-01-26,Concluído,2,,8.0
42,Portal com CMS e blog,"Projeto web com foco em SEO on-page, cache e CDN, integração com CRM. Stack utilizada: Vue + Laravel + MySQL.",882.53,2022-12-04,2023-02-01,Concluído,2,,13.0
