id_tributo,tipo,percentual,id_servico
1,COFINS,17.1,1
2,ISS,10.32,2
3,ISS,18.09,3
4,IPI,12.56,3
5,IPI,12.86,4
6,IRPJ,7.18,5
7,PIS,6.6,6
8,PIS,12.5,6
9,IRPJ,3.17,7
10,PIS,14.7,8
11,COFINS,17.87,9
12,COFINS,8.58,10
13,IPI,9.11,11
14,IPI,19.12,12
15,COFINS,2.28,13
16,ISS,9.21,14
17,IRPJ,15.04,14
18,PIS,2.14,15
19,PIS,11.67,15
20,COFINS,7.72,16
21,COFINS,17.49,17
22,IPI,12.41,18
23,PIS,10.64,19
24,COFINS,5.26,20
25,PIS,7.98,21
26,PIS,5.3,22
27,PIS,19.52,23
28,PIS,13.82,24
29,PIS,1.5,24
30,IRPJ,6.08,25
31,ICMS,6.19,25
32,IPI,7.67,26
33,ICMS,11.76,27
34,ICMS,15.08,28
35,ISS,15.18,29
36,ICMS,8.15,29
37,ICMS,8.03,30
38,PIS,12.33,31
39,ICMS,3.99,32
40,PIS,1.95,32
41,COFINS,13.58,33
42,COFINS,8.87,34
43,PIS,3.16,35
44,IPI,13.89,36
45,PIS,13.68,37
46,COFINS,19.7,38
47,ICMS,6.73,39
48,ICMS,15.52,40
49,ISS,1.15,41
50,ICMS,3.45,42
51,ICMS,10.5,43
52,IPI,2.37,44
53,IRPJ,1.8,44
54,ISS,17.38,45
55,PIS,8.68,46
56,IPI,3.19,47
57,IPI,4.27,48
58,COFINS,16.81,49
59,IPI,2.67,49
60,ICMS,9.28,50
61,COFINS,10.96,50
62,IPI,15.17,51
63,ICMS,2.45,52
64,PIS,10.69,53
65,IPI,7.67,54
66,IRPJ,16.49,54
67,ICMS,5.86,55
68,ICMS,15.44,56
69,ICMS,19.07,57
70,COFINS,15.33,58
71,COFINS,13.94,59
72,IRPJ,13.07,60
73,PIS,7.14,60
74,IPI,3.87,61
75,ISS,9.91,61
76,IPI,12.24,62
77,ISS,6.9,63
78,ISS,8.01,64
79,IRPJ,17.42,65
80,PIS,12.29,66
81,COFINS,9.79,66
82,IRPJ,18.02,67
83,PIS,13.38,68
84,COFINS,10.53,69
85,COFINS,2.97,70
86,IPI,19.67,70
87,IRPJ,4.28,71
88,COFINS,19.83,72
89,PIS,4.02,73
90,IPI,8.36,74
91,IRPJ,12.36,75
92,IRPJ,7.36,76
93,PIS,13.89,77
94,IRPJ,17.18,78
95,PIS,17.59,79
96,IPI,2.55,79
97,IPI,6.89,80
98,IRPJ,8.45,81
99,ISS,6.88,82
100,IPI,16.45,83
101,IRPJ,19.95,84
102,ISS,13.27,85
103,COFINS,10.66,85
104,IPI,4.42,86
105,COFINS,4.65,87
106,ICMS,2.47,88
107,ISS,10.65,88
108,IRPJ,17.79,89
109,IPI,17.65,90
110,PIS,8.16,91
111,IRPJ,15.65,92
112,ICMS,14.7,93
113,ISS,8.81,93
114,ICMS,19.42,94
115,IRPJ,15.89,95
116,ICMS,6.88,96
117,COFINS,18.18,97
118,ICMS,7.99,97
119,COFINS,9.77,98
120,IPI,15.78,98
121,COFINS,19.36,99
122,PIS,3.63,100
123,IPI,1.99,100
